speech 1 |thank*1|
no american |citizen*1|company*1|
american company |comes*1|
company comes |to*1|
comes to |bid*1|see*1|
to see |and*1|it*1|the*1|what’s*1|
see and |comes*1|
and comes |to*1|
to bid |its*1|
bid its |south*1|
its south |korea*2|
south korea |and*1|but*1|why*1|you*1|
korea and |whenever*1|
and whenever |they*1|
whenever they |have*2|
a problem |i’m*1|we*1|with*1|
problem we |send*1|
we send |our*1|over*1|the*2|trucks*1|
send the |battleships*1|destroyers*1|
the battleships |we*1|
battleships we |send*1|
the destroyers |we*1|
destroyers we |send*1|
send our |airplanes*1|surplus*1|
our airplanes |were*1|
airplanes were |going*1|
to protect |israel*1|them*1|
protect them |what*1|
them what |are*1|
are we |doing*4|gonna*2|
we doing |about*1|i*1|they’ve*1|why*1|
doing why |arent*1|
arent they |doing*1|paying*2|
they paying |us*2|
paying us |what*1|why*1|
us why |arent*1|
us what |are*1|
doing i |order*1|
i order |thousands*1|
order thousands |and*1|
and thousands |and*1|of*3|over*1|
of sets |all*1|
sets all |the*1|
time for |some*1|us*1|
for some |people*1|reason*1|—*1|
some reason |its*1|
reason its |south*1|
korea you |know*1|
know whether |its*1|
whether its |china*1|
its china |south*1|
china south |korea*1|
korea but |in*1|
but in |an*1|looking*1|this*1|two*1|
in this |building*2|case*1|plant*1|room*1|time*1|we’re*1|
this case |televisions*1|
case televisions |south*1|
televisions south |korea*1|
korea why |arent*1|
they doing |something*1|
doing something |for*1|to*1|
something to |justify*1|
to justify |what*1|
justify what |is*1|
going on |at*1|i*1|now*1|that’s*1|
on now |we*1|
very important |and*1|election*1|to*3|
important election |coming*1|
election coming |up*2|
coming up |and*2|we*1|which*1|with*1|
up we |have*1|
a presidential |election*1|
presidential election |coming*1|
up and |bring*1|he*1|i*1|if*1|speak*1|we*2|
have some |good*2|pretty*1|
some good |people*2|
good people |it*1|nobody*1|oh*1|
people nobody |like*1|
nobody like |trump*1|
like trump |of*1|
trump of |course*1|
of course |but*1|if*1|is*1|it’s*1|
course but |these*1|
but these |are*1|
these are |amazing*1|big*1|great*1|minor*1|my*1|our*1|the*1|
are minor |details*1|
minor details |we*1|
details we |have*1|
people it |cant*1|
be mitt |because*1|
mitt because |mitt*1|
because mitt |ran*1|
mitt ran |and*1|
ran and |failed*1|the*1|
and failed |he*1|
failed he |failed*1|
he failed |i*1|when*1|
failed i |mean*1|
i liked |him*1|
liked him |looklike*1|
him looklike |him*1|
looklike him |dislike*1|
him dislike |himthe*1|
dislike himthe |47*1|
himthe 47 |statement*1|
47 statement |that*1|
statement that |he*1|
that he |made*1|would*1|
he made |a*1|thats*1|
made thats |not*1|
thats not |going*2|
going away |the*1|what*1|
away the |romneycare*1|
the romneycare |from*1|
romneycare from |massachusetts*1|
from massachusetts |thats*1|
massachusetts thats |not*1|
away what |do*1|
do you |believe*1|mean*1|really*1|remember*1|think*1|
think theyre |going*1|
theyre going |to*1|
say oh |he*1|we*1|you*1|
oh we |wont*1|
we wont |bring*1|
wont bring |that*1|
bring that |up*1|
that up |this*1|
up this |time*1|
this time |from*1|its*1|of*1|
fair because |it*1|
long t |that*1|
t that |doesnt*1|
that doesnt |work*1|
doesnt work |but*1|
work but |more*1|they’re*1|
but more |importantly*1|
more importantly |he*1|
importantly he |choked*1|
he choked |something*1|you*1|
choked something |happened*1|
something happened |to*1|
happened to |him*1|the*1|us*1|
to him |in*1|negotiate*1|
him in |the*1|
the last |moment*1|month*1|thing*3|three*1|time*3|
last month |he*1|
month he |had*1|
he had |a*1|assets*1|nothing*1|that*1|
that election |sort*1|won*1|
election won |and*1|
won and |just*1|let*1|then*1|we*1|
let me |get*1|give*1|just*1|tell*2|
me tell |you*2|
you something |that*1|
election sort |of*1|
of like |a*1|
a dealmaker |that*1|
dealmaker that |cant*1|
that cant |close*1|sink*1|
cant close |it*1|the*1|
close the |deal*1|
the deal |he’s*1|i*1|was*1|
deal i |know*1|
know many |of*1|
those guys |they*1|
guys they |get*1|
they get |five*1|good*1|it*1|the*1|
it up |i*1|to*1|w*1|with*1|
up to |my*1|the*1|
the oneyard |line*1|
oneyard line |they*1|
line they |go*1|
go ah |ah*1|
ah ah |i*1|
ah i |cant*1|
i cant |believe*1|close*1|
close it |or*1|
or a |golfer*1|woman*1|
a golfer |that*1|
golfer that |cant*1|
cant sink |the*1|
sink the |threefooter*1|
the threefooter |to*1|
threefooter to |win*1|
win the |tournament*1|
the tournament |and*1|
tournament and |there*1|
and there |are*1|
are many |of*1|
them most |people*1|
most people |are*2|
are like |a*1|that*2|third*1|
like that |i*1|i’ll*1|that*1|you*1|
that i |can*1|got*1|have*1|mean*1|solved*1|told*1|totally*1|will*1|—*1|
mean most |people*1|
you cant |give*1|have*3|
cant give |somebody*1|
give somebody |another*1|
somebody another |chance*1|
another chance |cause*1|
chance cause |actually*1|
cause actually |i*1|
actually i |think*1|
think this |election*1|
this election |is*1|
election is |tougher*1|
is tougher |to*1|
tougher to |win*1|
win than |beating*1|
than beating |a*1|
beating a |failed*1|
a failed |president*1|
failed president |i*1|
president i |really*1|will*3|would*1|
i really |am*1|believe*1|do*1|thought*1|
think beating |obama*1|
beating obama |would*1|
obama would |have*1|
been a |complete*1|friend*1|jobproducer*1|much*1|negative*1|total*2|
a much |bigger*3|easier*1|finer*1|larger*1|—*1|
much easier |it*1|one*1|
easier one |than*1|
one than |the*1|
than the |one*1|
one thats |coming*1|
thats coming |up*1|
up which |is*1|
which is |a*1|really*1|sad*1|sort*1|the*1|totally*1|true*1|
is sad |to*1|
sad to |say*1|
but true |so*1|
true so |you*1|
cant have |bush*1|jeb*1|romney*1|those*1|
have romney |he*1|
romney he |choked*1|
choked you |cant*1|
have bush |the*1|
bush the |last*1|
last thing |we*2|you*1|
we need |1000*1|a*3|is*2|it*1|money*2|people*1|somebody*3|that*1|the*1|to*5|—*1|
need is |another*2|
is another |bush*2|important*1|
another bush |now*2|
bush now |hes*1|i*1|
now i |also*1|made*1|was*1|
i made |it*1|that*1|
made that |agreement*1|statement*1|
that statement |very*1|
statement very |strongly*1|
strongly and |now*1|
and now |every*1|isis*1|i’m*1|many*1|since*1|they*1|they’re*1|to*1|we*1|we’re*1|with*1|
now every |one*1|
every one |says*1|
one says |the*1|
says the |last*1|
thing you |know*1|
they copied |it*1|
copied it |ill*1|
it ill |be*1|
ill be |accused*1|
be accused |of*1|
accused of |copying*1|
of copying |the*1|
copying the |statement*1|
the statement |thats*1|
statement thats |the*1|
the bad |news*2|ones*1|thing*1|
bad thing |but*1|he*1|
thing but |i*1|obamacare*1|
it first |and*1|
first and |i*1|
mean it |the*1|
it the |last*1|oldfashioned*1|
now hes |totally*1|
hes totally |in*2|
totally in |favor*3|
in favor |of*4|
favor of |common*4|
of common |core*5|
common core |and*1|common*1|hes*1|how*1|i*1|or*1|should*1|thats*1|
core thats |a*1|
thats a |disaster*1|
disaster thats |bad*1|
thats bad |it*1|
bad it |all*1|should*1|
it should |be*4|
should be |ashamed*1|brought*4|local*1|
be local |and*1|rebuild*1|
local and |all*1|
of that |but*2|
that but |he*1|hes*1|i’m*1|the*1|we*1|
but hes |totally*1|
core hes |very*1|
hes very |very*1|
very weak |on*1|
weak on |immigration*2|
on immigration |dont*1|he’s*1|immediately*1|on*1|
immigration dont |forgetremember*1|
dont forgetremember |his*1|
forgetremember his |statementthey*1|
his statementthey |come*1|
statementthey come |for*1|
come for |love*2|
for love |i*1|theyre*1|youve*1|
love i |love*1|say*1|
i say |america*1|i*1|it*1|that’s*1|what*1|you*1|
say what |come*1|
what come |for*1|
love youve |got*1|
got these |people*1|
these people |and*1|are*2|coming*1|gonna*1|so*1|they*1|
people coming |half*1|in*1|up*1|
coming half |of*1|
half of |them*1|
them are |criminals*1|like*1|simply*1|
criminals theyre |coming*1|
theyre coming |for*2|
coming for |a*1|love*1|
love theyre |coming*1|
other reasons |and*1|
reasons and |its*1|
not love |and*1|
love and |care*1|when*1|
when he |failed*1|runs*1|said*1|was*2|
he runs |you*1|
runs you |got*1|
you got |to*1|
to remember |his*1|
remember his |brother*1|
his brother |gave*1|really*1|
brother really |gave*1|
really gave |us*1|
gave us |obama*2|
us obama |cause*1|i*1|
obama i |was*1|
was never |a*1|
never a |big*1|
big fan |but*1|
fan but |his*1|
but his |brother*1|
brother gave |us*1|
obama cause |abraham*1|
cause abraham |lincoln*1|
abraham lincoln |coming*1|
lincoln coming |home*1|
coming home |back*1|
home back |from*1|
back from |the*1|
the dead |could*1|
dead could |not*1|
could not |have*2|
not have |done*1|happened*1|won*1|
have won |the*1|
won the |cold*1|election*1|evangelicals*1|
the election |because*1|
election because |it*1|
going so |badly*1|
so badly |and*1|
badly and |the*1|
the economy |was*1|
economy was |just*1|
was just |a*1|absolutely*1|announced*1|
just absolutely |in*1|
absolutely in |shambles*1|
in shambles |that*1|
shambles that |last*1|
that last |couple*1|
last couple |of*1|
couple of |days*1|friends*1|months*2|stories*2|weeks*1|
of months |ago*1|and*1|
months and |then*1|
then he |appointed*1|
he appointed |justice*1|
appointed justice |roberts*1|
justice roberts |and*2|basically*1|
roberts and |jeb*1|justice*1|
and jeb |wanted*1|
jeb wanted |justice*1|
wanted justice |roberts*1|
and justice |roberts*1|
roberts basically |approved*1|
basically approved |obamacare*1|
approved obamacare |in*1|
obamacare in |a*1|
a shocking |decision*1|
shocking decision |that*1|
decision that |i*1|nobody*1|
that nobody |believes*1|even*1|
nobody believes |so*1|
believes so |you*1|
have jeb |bush*1|
jeb bush |and*1|
bush and |hes*1|
lose aside |from*1|
aside from |that*1|
from that |hes*1|
that hes |not*1|
hes not |going*1|
win so |mitt*1|
so mitt |andyou*1|
mitt andyou |just*1|
andyou just |cant*1|
just cant |have*1|
those two |thats*1|
two thats |it*1|
thats it |its*1|thats*1|
it thats |it*1|
its so |much*1|simple*1|
so simple |so*1|
simple so |just*1|
so just |in*1|remember*1|
in summing |up*1|
summing up |and*1|
just wrote |a*1|
wrote a |few*1|
a few |days*1|of*1|questions*1|weeks*2|
few of |these*1|
of these |actions*1|candidates*1|disastrous*1|little*1|nice*1|people*1|politicians*3|
these little |points*1|
little points |down*1|
points down |because*1|
down because |its*1|
because its |not*1|very*1|
important and |i*1|which*1|
i watch |the*2|these*1|
watch these |teleprompters*1|
these teleprompters |and*1|but*1|
teleprompters and |by*1|people*1|
way i |think*1|wish*1|
think any |president*1|
any president |candidate*1|
president candidate |that*1|
candidate that |runs*1|
that runs |should*1|
runs should |not*1|
should not |be*1|
not be |allowed*1|my*1|
be allowed |remember*1|to*6|
allowed to |atrophy*1|do*1|have*3|run*2|use*1|
use a |teleprompter*1|
a teleprompter |because*1|
teleprompter because |we*1|
got one |that*1|
that uses |teleprompters*1|
uses teleprompters |and*1|
people say |oh*2|
oh he |has*1|is*1|
he is |a*1|reading*1|so*1|
so quick |on*1|
quick on |his*1|
on his |feet*1|
his feet |he*1|playing*1|
feet he |is*1|
is reading |it*1|
reading it |i*1|
mean give |me*1|
give me |a*1|the*1|whatever*1|
me a |big*1|break*1|job*1|
a break |everything*1|
break everything |is*1|
is read |you*1|
read you |dont*1|
you dont |really*1|
dont really |test*1|
really test |the*1|
test the |mettle*1|
the mettle |of*1|
mettle of |a*1|
of a |bubble*1|dictator*1|foreign*1|friendly*1|loser*1|man*1|stem*1|sudden*1|
a man |or*1|
man or |a*1|
a woman |unless*1|was*1|
woman unless |they*1|
unless they |can*1|
can get |away*1|them*1|up*1|
get up |and*1|on*1|
up on |stage*1|
on stage |and*1|
stage and |talk*1|
and talk |and*1|
and thats |the*1|what*1|
thats what |we*1|
what we |don’t*1|ended*1|have=*1|need*1|unleashed*1|want*1|were*1|won*1|
we ended |up*1|
ended up |gettingthe*1|
up gettingthe |king*1|
gettingthe king |of*1|
king of |teleprompters*1|
of teleprompters |but*1|
teleprompters but |in*1|so*1|
but so |we*1|when*1|
so when |i*1|you*2|
i look |at*2|
at these |airports*1|situations*1|things*1|
these things |here*1|
things here |i*1|
here i |say*1|
say you |can’t*1|have*1|know*2|what*1|
easier it |would*1|
it would |be*2|destabilize*1|
be so |easy*1|nasty*1|nice*1|tough*1|
nice just |bah*1|
just bah |pa*1|
bah pa |bah*2|
pa bah |bing*1|pa*1|
bah bing |bing*1|
bing bing |bing*1|no*1|
bing no |problems*1|
no problems |get*1|
problems get |off*1|
get off |stage*1|
off stage |everybody*1|
stage everybody |falls*1|
everybody falls |asleep*1|
falls asleep |and*1|
asleep and |thats*1|
something about |these*1|
about these |teleprompters*1|
in looking |at*1|
these situations |i*1|
situations i |built*1|
i built |an*1|
built an |incredible*1|
an incredible |company*2|
incredible company |a*1|and*1|
company and |youll*1|
and youll |see*1|
that an |incredible*1|
company a |car*1|wonderful*1|
a wonderful |city*1|company*1|family*1|
wonderful company |i*1|
company i |employ*1|
i employ |thousands*1|
employ thousands |of*1|
of people |and*2|over*1|said*1|that*2|thousands*1|up*1|—*1|
love doing |what*1|
doing what |im*1|
what im |doing*1|
im doing |and*1|
doing and |in*1|
and in |19*1|a*1|all*1|friendship*1|my*1|
a certain |way*1|
certain way |i*1|
i wish |i*1|
wish i |werent*1|
i werent |doing*1|
werent doing |this*1|
doing this |but*1|
this but |our*1|
but our |country*1|
such trouble |and*1|
and would |be*1|
so easy |i’ve*1|to*1|
easy to |fix*1|
to fix |it*1|we*1|
fix we |have*1|
have such |great*1|
such great |potential*1|
great potential |so*1|
potential so |if*1|
so if |i*1|they*1|we*1|
for president |and*1|because*1|i*1|i’ve*1|of*1|
president and |if*1|they’ll*1|you’re*1|
would totally |succeed*1|
totally succeed |in*1|
succeed in |creating*1|
in creating |jobs*1|
creating jobs |defeating*1|
jobs defeating |isis*1|
defeating isis |and*1|
isis and |stopping*1|we’re*1|
and stopping |the*1|
stopping the |islamic*1|
the islamic |terroristsand*1|
islamic terroristsand |you*1|
terroristsand you |have*1|
that reducing |the*1|
reducing the |budget*1|
the budget |deficitso*1|
budget deficitso |important*1|
deficitso important |have*1|
important have |to*1|
it securing |our*1|
securing our |southern*1|
our southern |borderand*1|
southern borderand |i*1|
borderand i |mean*1|
mean seriously |securing*1|
seriously securing |it*1|
securing it |stopping*1|
it stopping |nuclear*1|
stopping nuclear |weapons*1|
weapons in |iran*1|
in iran |and*1|
iran and |elsewhere*1|somebody*1|then*1|
and elsewhere |he*1|saving*1|
elsewhere saving |social*1|
saving social |security*1|
security medicare |and*1|
medicaid without |cutting*1|
without cutting |it*1|
cutting it |down*1|
it down |to*1|
the bone |because*1|
bone because |its*1|
fair to |future*1|people*1|them*1|
to people |that*1|
paying for |the*1|their*1|
for their |whole*1|
their whole |lives*1|
whole lives |and*1|
lives and |indeed*1|other*1|spending*1|
and other |people*1|things*3|
other people |and*2|i*1|that*1|want*1|
to future |people*1|
future people |coming*1|
it repealing |obamacare*1|
repealing obamacare |and*1|
and replacing |it*1|
replacing it |with*1|
with something |far*1|much*2|
something far |better*1|
far better |for*1|
better for |everybody*2|the*1|
and far |less*1|
far less |expensive*1|
less expensive |both*1|for*1|
expensive both |for*1|
both for |the*1|
and believe |me*4|
me there |are*1|
are plans |that*1|
much better |and*2|for*2|than*1|
for everybody |and*1|but*1|else’s*1|let*1|
everybody can |be*2|
be covered |im*1|
covered im |not*1|
not saying |leave*1|they’re*1|
saying leave |50percent*1|
leave 50percent |of*1|
50percent of |the*1|
people out |everybody*1|
out everybody |can*1|thought*1|
be c |this*1|
c this |plan*1|
this plan |is*1|
plan is |just*1|
is just |a*1|spectacular*1|taking*1|
just a |basic*1|few*1|great*1|political*1|summary*1|very*1|
a basic |disaster*1|
basic disaster |nobody*1|
disaster nobody |knows*1|
nobody knows |as*1|what*1|where*1|
knows as |bad*1|
as bad |as*1|
bad as |the*1|
as the |trump*1|website*1|
the website |was*1|
website was |this*1|
was this |is*1|
is how |bad*1|we*1|
how bad |the*1|you*1|
bad the |plan*1|
the plan |itself*1|
plan itself |is*1|
itself is |fixing*1|
is fixing |our*1|
fixing our |countrys*1|relations*1|
our countrys |infrastructure*1|
countrys infrastructure |our*1|
infrastructure our |airports*1|bridges*2|
our bridges |our*2|
bridges our |roadways*1|schools*1|
our schools |our*1|
schools our |highways*1|
our highways |our*1|
highways our |airports*1|
airports and |that*1|
and that |his*1|i*1|is*1|tax*1|will*1|would*1|you’re*1|
you nobody |is*1|
nobody is |close*1|going*1|
is close |to*1|
close to |trump*1|
to trump |i*1|
just got |the*1|
got the |best*1|job*1|
best hotel |in*3|
hotel in |las*1|north*1|syria*1|washington*1|
in north |america*1|korea*1|
north america |im*1|
america im |building*1|
im building |one*1|which*1|
building which |is*1|
is sort |of*1|
of interesting |think*1|
interesting think |of*1|
this one |i*1|im*1|you*1|
one im |building*1|
building one |of*1|
the great |catastrophes*1|hotels*1|wall*1|
great hotels |it’s*1|of*1|
hotels of |the*1|
world on |my*1|pennsylvania*1|
on pennsylvania |avenue*2|
pennsylvania avenue |right*1|the*1|
avenue right |opposite*1|
right opposite |the*2|
opposite the |new*1|white*1|
the white |house*3|
white house |and*1|between*1|right*1|
house between |the*1|
between the |white*1|
and congress |right*1|
congress right |on*1|
right on |penn*1|the*1|time*1|
on penn |the*1|
penn the |old*1|
old post |office*2|
post office |site*1|we’re*1|
office site |and*1|
site and |i*1|to*1|
i got |from*1|it*2|
got it |for*1|from*2|it*1|over*1|people*1|well*1|
it from |anybody*1|every*1|obama*1|the*1|
from obama |do*1|
obama do |you*1|
you believe |that*1|this*1|
believe that |and*1|
everybody wanted |it*1|over*1|
wanted it |so*1|
believe it |because*1|makes*1|myself*1|or*2|that’s*1|
it myself |but*1|
myself but |its*1|
be fantastic |and*1|
fantastic and |so*1|
many other |companies*1|places*2|things*1|
things i |did*1|know*1|think*1|would*1|
what needs |to*1|
needs to |be*1|grow*1|
be done |on*1|to*1|
done to |make*1|them*1|
make america |first*1|great*8|respected*1|strong*1|truly*1|whole*1|
america great |again*8|
can make |our*1|this*1|we*1|
make this |country*2|
the potential |is*1|
potential is |enormous*1|
is enormous |and*1|
enormous and |i*1|
am serious |thinking*1|
serious thinking |of*1|
thinking of |running*1|
of running |for*1|
running for |president*2|the*1|
the job |because*1|thank*1|
job thank |you*1|
you all |very*1|
all very |much*1|
much thank |you*1|
you thank |you*6|
much everybody |i*1|thank*1|we*1|
everybody thank |you*1|
you beautiful |thank*1|
beautiful thank |you*1|
you speech |2*1|3*1|5*1|
speech 2 |thank*1|
2 thank |you*1|
you for |the*1|
the opportunity |to*1|
opportunity to |speak*1|take*1|
to speak |to*1|
speak to |the*1|you*1|
to you |and*1|
and thank |you*1|
the center |for*1|
center for |national*1|
for national |interest*1|
national interest |for*1|
interest for |honoring*1|
for honoring |me*1|
honoring me |with*1|
me with |this*1|
with this |invitation*1|one*1|
this invitation |it*1|
invitation it |truly*1|
it truly |is*1|
truly is |a*1|
is a |big*1|complete*1|dangerous*1|different*1|disaster*1|disastertrump*1|great*3|group*1|job*1|lightweight*1|movement*2|nation*1|serious*1|
great honor |i’d*1|
honor i’d |like*1|
i’d like |to*1|
to talk |today*1|
talk today |about*1|
today about |how*1|
about how |great*1|to*1|
how to |address*1|bring*1|develop*1|do*1|fix*1|make*1|stop*1|use*1|
to develop |a*2|
develop a |foreign*1|new*2|
new foreign |policy*1|
foreign policy |based*2|began*1|direction*1|disaster*1|first*1|goal*1|goals*2|informed*1|is*1|it’s*1|one*2|that*2|the*1|veered*1|vision*1|will*1|with*1|without*1|
policy direction |for*1|
direction for |our*1|
for our |children*1|companies*1|country*2|leaders*2|nation*1|people*1|
country one |that*1|
that replaces |randomness*1|
replaces randomness |with*1|
randomness with |purpose*1|
with purpose |ideology*1|
purpose ideology |with*1|
ideology with |strategy*1|
with strategy |and*1|
strategy and |chaos*1|
and chaos |with*1|
chaos with |peace*1|
with peace |it’s*1|
peace it’s |time*1|
it’s time |to*2|
time to |invite*1|shake*1|
to shake |the*1|
shake the |rust*1|
the rust |off*1|
rust off |america’s*1|
off america’s |foreign*1|
america’s foreign |policy*1|
policy it’s |time*1|
to invite |new*1|
invite new |voices*1|
new voices |and*1|
voices and |new*1|
and new |visions*1|
new visions |into*1|
visions into |the*1|
the fold |something*1|
fold something |we*1|
something we |have*1|
the direction |i*1|
direction i |will*1|
i will |also*2|be*2|enforce*1|immediately*1|make*2|never*1|not*2|outline*1|say*2|seek*1|tell*3|view*1|work*1|
will outline |today*1|
outline today |will*1|
today will |also*1|
will also |be*1|call*1|return*1|
also return |us*1|
return us |to*1|
us to |a*1|prevent*1|
to a |campaign*1|level*1|local*1|meeting*1|much*1|point*1|timeless*1|
a timeless |principle*1|
timeless principle |my*1|
principle my |foreign*1|
my foreign |policy*1|
policy will |always*1|
will always |be*1|help*1|put*1|
always put |the*1|
put the |interests*1|
the interests |of*1|
interests of |our*1|the*1|
the american |people*3|worker*1|
american people |and*1|first*1|so*1|
and american |security*1|
american security |above*1|
security above |all*1|
above all |else*1|
all else |it*1|
else it |has*1|is*1|
it has |been*1|ever*1|to*3|wanted*1|
be first |has*1|
first has |to*1|
be that |way*1|will*1|
that will |be*1|endure*1|find*1|grow*1|happen*1|never*1|
the foundation |of*1|
foundation of |every*1|
of every |single*1|
every single |decision*1|—*2|
single decision |that*1|
will make |a*1|america*2|
america first |will*1|
first will |be*1|
the major |and*1|
major and |overriding*1|
and overriding |theme*1|
overriding theme |of*1|
theme of |my*1|
of my |administration*1|courses*1|life*1|net*1|success*1|
my administration |a*1|but*1|we*1|
administration but |to*1|
but to |chart*1|play*1|
to chart |our*1|
chart our |path*1|
our path |forward*1|
path forward |we*1|
forward we |must*1|
we must |as*1|develop*1|even*1|first*1|make*4|only*1|stop*1|treat*1|—*1|
must first |briefly*1|
first briefly |take*1|
briefly take |a*1|
take a |fresh*1|look*5|
a look |at*4|back*1|
look back |we*1|
back we |have*1|
lot to |be*1|
be proud |and*1|of*2|
of in |the*1|
the 1940s |we*1|
1940s we |saved*1|
we saved |the*2|
saved the |world*2|
world the |greatest*1|
the greatest |assets*1|business*1|generation*1|jobs*1|social*1|
greatest generation |beat*1|
generation beat |back*1|
beat back |the*1|
back the |money*1|nazis*1|
the nazis |and*1|
nazis and |japanese*1|
and japanese |imperialists*1|
japanese imperialists |then*1|
imperialists then |we*1|
world again |this*1|
again this |time*1|will*1|
time from |totalitarianism*1|
from totalitarianism |and*1|
totalitarianism and |communism*1|
and communism |the*1|
communism the |cold*1|
the cold |war*6|
cold war |and*2|in*1|lasted*1|our*1|to*1|
war lasted |for*1|
lasted for |decades*1|
for decades |and*1|but*1|
decades but |guess*1|
but guess |what*1|
guess what |no*1|we*1|
we won |and*1|big*1|by*1|hispanics*1|the*2|with*4|
won big |democrats*1|
big democrats |and*1|
democrats and |republicans*1|they*1|they’re*1|
and republicans |working*1|
republicans working |together*1|
working together |got*1|
together got |mr*1|
got mr |gorbachev*1|
mr gorbachev |to*1|
gorbachev to |heed*1|
to heed |the*1|
heed the |words*1|
the words |of*1|radical*1|
words of |president*1|
of president |reagan*1|
president reagan |our*1|
reagan our |great*1|
our great |friend*1|people*1|president*1|
great president |when*1|
president when |he*1|
said tear |down*1|
tear down |this*1|
down this |wall*1|
this wall |history*1|
wall history |will*1|
history will |not*1|
will not |allow*1|apologize*1|as*1|be*1|bring*1|forget*1|hesitate*1|only*1|
not forget |what*1|
forget what |he*1|
what he |did*1|said*1|
very special |man*1|
special man |and*1|
man and |i*1|president*1|
and president |unfortunately*1|
president unfortunately |after*1|
unfortunately after |the*1|
after the |cold*1|program*1|show*1|
war our |foreign*1|
our foreign |policy*6|trade*1|
policy veered |badly*1|
veered badly |off*1|
badly off |course*1|
off course |we*1|
course we |failed*1|
we failed |to*1|
failed to |develop*1|put*1|
new vision |for*1|
vision for |a*1|
new time |in*1|
time in |fact*1|florida*2|
fact as |time*1|
as time |went*1|
time went |on*1|
went on |our*1|
on our |country*1|foreign*1|
policy began |to*1|
began to |make*1|
make less |and*1|
less and |less*1|
and less |sense*1|
less sense |logic*1|
sense logic |was*1|
logic was |replaced*1|
was replaced |with*1|
replaced with |foolishness*1|something*1|
with foolishness |and*1|
foolishness and |arrogance*1|
and arrogance |which*1|
arrogance which |led*1|
which led |to*1|
led to |one*1|
to one |foreign*1|
one foreign |policy*1|
policy disaster |after*1|
disaster after |another*1|
after another |they*1|
another they |just*1|
they just |built*1|did*1|kept*1|
just kept |coming*1|
kept coming |and*1|
coming and |coming*1|
and coming |up*1|we*1|
coming we |went*1|
we went |from*1|
went from |mistakes*1|
from mistakes |in*1|
mistakes in |iraq*1|
iraq to |egypt*1|
to egypt |to*1|
egypt to |libya*1|
to libya |to*1|
libya to |president*1|
to president |obama’s*1|
president obama’s |goal*1|illegal*1|line*1|
obama’s line |in*1|
line in |the*3|
the sand |believe*1|i*1|in*1|
sand in |syria*1|
syria each |of*1|
each of |these*1|
these actions |have*1|
actions have |helped*1|
have helped |to*1|unleash*1|
helped to |throw*1|
to throw |the*1|
throw the |region*1|
the region |and*1|into*1|president*1|that*1|
region into |chaos*1|
into chaos |and*1|
chaos and |gave*1|
and gave |isis*1|
gave isis |the*1|
isis the |space*1|
the space |it*1|
space it |needs*1|
to grow |and*1|
grow and |prosper*1|to*1|
and prosper |very*1|
prosper very |bad*1|
very bad |for*1|it*1|
it all |began*1|on*1|the*2|
all began |with*1|
began with |a*1|
a dangerous |idea*1|world*1|
dangerous idea |that*1|
idea that |we*1|
we could |be*1|make*1|turn*1|win*1|
could make |western*1|
make western |democracies*1|
western democracies |out*1|
democracies out |of*1|
of countries |that*1|
had no |experience*1|idea*1|
no experience |or*1|
experience or |interests*1|
or interests |in*1|
interests in |becoming*1|
in becoming |a*1|
becoming a |third*1|western*1|
a western |democracy*1|
western democracy |we*1|
democracy we |tore*1|
we tore |up*1|
tore up |what*1|
up what |institutions*1|
what institutions |they*1|
institutions they |had*1|
they had |390000*1|a*1|and*1|
had and |then*1|we*1|
then were |surprised*1|
were surprised |at*1|
surprised at |what*1|
at what |china*1|happened*1|we*1|
we unleashed |civil*1|
unleashed civil |war*1|
civil war |religious*1|
war religious |fanaticism*1|
religious fanaticism |thousands*1|
fanaticism thousands |of*1|
of americans |and*1|
americans and |just*1|
and just |killed*1|look*1|
just killed |be*1|
killed be |lives*1|
be lives |lives*1|
lives lives |lives*1|wasted*1|
lives wasted |horribly*1|
wasted horribly |wasted*1|
horribly wasted |many*1|
wasted many |trillions*1|
many trillions |of*1|
trillions of |dollars*5|
dollars were |lost*1|
lost as |a*1|
as a |country*2|nation*2|pawn*1|result*1|
a result |the*1|
result the |vacuum*1|
the vacuum |was*1|
vacuum was |created*1|
was created |that*1|
created that |isis*1|
isis would |fill*1|have*1|
would fill |iran*1|
fill iran |too*1|
iran too |would*1|
too would |rush*1|
would rush |in*1|
rush in |and*1|
and fill |that*1|
fill that |void*1|
that void |much*1|
void much |to*1|
much to |their*1|
to their |really*1|very*1|
their really |unjust*1|
really unjust |enrichment*1|
unjust enrichment |they*1|
enrichment they |have*1|
have benefited |so*1|
benefited so |much*1|
much so |sadly*1|
so sadly |for*1|
sadly for |us*1|
for us |and*1|it*1|our*1|so*1|—*1|
us our |foreign*1|nuclear*1|
policy is |a*1|
a complete |and*2|
complete and |total*2|
total disaster |for*2|i*1|no*1|
disaster no |vision*1|
no vision |no*1|
vision no |purpose*1|
no purpose |no*1|
purpose no |direction*1|
no direction |no*1|
direction no |strategy*1|
no strategy |today*1|
strategy today |i*1|
today i |heard*1|want*1|
to identify |five*1|
identify five |main*1|
five main |weaknesses*1|
main weaknesses |in*1|
weaknesses in |our*1|
in our |country*1|foreign*1|homeland*1|
policy first |our*1|
first our |resources*1|
our resources |are*1|
resources are |totally*1|
are totally |over*1|predictable*1|
totally over |extended*1|
over extended |president*1|
extended president |obama*1|
